IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.91.59.82,443,443,true,FRA,Europe,Frankfurt,176,9.62
34.91.59.82,443,443,true,FRA,Europe,Frankfurt,175,9.61
35.204.199.218,443,443,true,FRA,Europe,Frankfurt,180,9.60
34.154.121.217,443,443,true,FRA,Europe,Frankfurt,186,9.60
34.118.6.154,443,443,true,FRA,Europe,Frankfurt,186,9.59
34.116.221.87,443,443,true,FRA,Europe,Frankfurt,196,9.57
34.116.157.9,443,443,true,FRA,Europe,Frankfurt,244,9.57
34.91.159.161,443,443,true,FRA,Europe,Frankfurt,191,9.54
35.204.44.97,443,443,true,FRA,Europe,Frankfurt,181,9.54
34.116.206.219,443,443,true,FRA,Europe,Frankfurt,237,9.53
34.118.126.252,443,443,true,FRA,Europe,Frankfurt,297,9.52
34.116.218.25,443,443,true,FRA,Europe,Frankfurt,186,9.51
34.118.126.252,443,443,true,FRA,Europe,Frankfurt,196,9.51
34.154.80.117,443,443,true,FRA,Europe,Frankfurt,219,9.50
34.118.45.84,443,443,true,FRA,Europe,Frankfurt,184,9.48
34.154.41.67,443,443,true,FRA,Europe,Frankfurt,178,9.47
35.228.168.221,443,443,true,ARN,Europe,Stockholm,188,9.45
34.118.56.37,443,443,true,FRA,Europe,Frankfurt,223,9.45
34.116.135.209,443,443,true,FRA,Europe,Frankfurt,239,9.45
34.116.224.156,443,443,true,FRA,Europe,Frankfurt,194,9.44
34.154.193.94,443,443,true,FRA,Europe,Frankfurt,192,9.44
34.118.111.23,443,443,true,FRA,Europe,Frankfurt,235,9.43
34.118.87.123,443,443,true,FRA,Europe,Frankfurt,251,9.42
34.89.211.255,443,443,true,FRA,Europe,Frankfurt,179,9.40
34.154.240.218,443,443,true,FRA,Europe,Frankfurt,181,9.39
34.116.157.255,443,443,true,FRA,Europe,Frankfurt,268,9.39
34.116.159.95,443,443,true,FRA,Europe,Frankfurt,283,9.38
34.118.111.208,443,443,true,FRA,Europe,Frankfurt,237,9.36
34.154.59.81,443,443,true,FRA,Europe,Frankfurt,179,9.36
34.159.73.193,443,443,true,FRA,Europe,Frankfurt,178,9.36
34.65.47.5,443,443,true,MUC,Europe,Munich,174,9.36
34.118.90.82,443,443,true,FRA,Europe,Frankfurt,186,9.36
34.116.145.227,443,443,true,FRA,Europe,Frankfurt,260,9.34
34.154.123.93,443,443,true,FRA,Europe,Frankfurt,184,9.33
34.118.31.189,443,443,true,FRA,Europe,Frankfurt,249,9.33
34.118.81.115,443,443,true,FRA,Europe,Frankfurt,188,9.33
34.118.68.179,443,443,true,FRA,Europe,Frankfurt,256,9.32
34.116.201.17,443,443,true,FRA,Europe,Frankfurt,258,9.31
34.118.51.76,443,443,true,FRA,Europe,Frankfurt,188,9.31
34.118.84.164,443,443,true,FRA,Europe,Frankfurt,216,9.30
34.91.134.31,443,443,true,FRA,Europe,Frankfurt,177,9.29
34.116.214.43,443,443,true,FRA,Europe,Frankfurt,187,9.29
34.118.45.49,443,443,true,FRA,Europe,Frankfurt,242,9.29
34.116.218.25,443,443,true,FRA,Europe,Frankfurt,267,9.27
34.118.115.199,443,443,true,FRA,Europe,Frankfurt,232,9.26
34.116.200.216,443,443,true,FRA,Europe,Frankfurt,188,9.25
34.118.23.103,443,443,true,FRA,Europe,Frankfurt,192,9.25
34.118.30.198,443,443,true,FRA,Europe,Frankfurt,253,9.24
34.118.123.17,443,443,true,FRA,Europe,Frankfurt,190,9.24
